nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180395613,P,Reguler,SMAN 6 TAMBUN SELATAN,Kab Bekasi,Jawa Barat,EKONOMI PEMBANGUNAN,Tidak Memilih,75,82.28,Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3,7.5,70.2,,,,
4180395911,P,Bidik Misi,SMKS PLUS AL HASANAH,Kab Tasikmalaya,Jawa Barat,AGROTEKNOLOGI ,AKUNTANSI,42,82.14,Tidak Lulus,Tidak Lulus,10.3,10.3,1.1,0,10.3,10.3,10.3,10.3,10.6,73.3,,,,
4180395964,P,Bidik Misi,SMAN 1 MANONJAYA,Kab Tasikmalaya,Jawa Barat,TEKNIK INFORMATIKA,GIZI,209,84.97,Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6,10.6,75.5,,,,
4180396219,P,Bidik Misi,SMAS YAB SUKARATU,Kab Tasikmalaya,Jawa Barat,AKUNTANSI,MANAJEMEN,16,85.24,Tidak Lulus,Tidak Lulus,10.7,10.7,1,0,10.7,10.7,10.7,10.7,10.6,75.6,,,,
4180396267,P,Bidik Misi,MAN AWIPARI,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,PENDIDIKAN BIOLOGI,136,84.7,Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6,11.3,76,,,,
4180396739,P,Bidik Misi,SMAN 10 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN EKONOMI,PENDIDIKAN GEOGRAFI,104,85.89,PENDIDIKAN EKONOMI,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7,11.3,76.8,3.57,3.65,,
4180396923,P,Reguler,SMK N 1 CILEUNGSI,Kab Bogor,Jawa Barat,TEKNIK INFORMATIKA,EKONOMI SYARIAH,70,83.03,Tidak Lulus,Tidak Lulus,10.8,10.4,1,0,10.4,10.4,10.4,10.4,7.5,71.2,,,,
4180396945,P,Reguler,SMAN 10 TASIKMALAYA,Kota Tasikmalaya,Jawa Barat,MANAJEMEN,EKONOMI PEMBANGUNAN,104,82.81,Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4,11.3,74.4,,,,
4180397537,P,Reguler,SMKS PANCASILA MANONJAYA,Kab Tasikmalaya,Jawa Barat,AKUNTANSI,EKONOMI PEMBANGUNAN,39,81.74,Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2,10.6,73.1,,,,
4180397590,P,Reguler,SMAN 13 PADANG,Kota Padang,Sumatera Barat,KESEHATAN MASYARAKAT,Tidak Memilih,159,87.96,Tidak Lulus,Tidak Lulus,11.1,11,1,0,11,11,11,11,7.5,74.6,,,,
4180397622,P,Bidik Misi,SMKN 1 KAWALI,Kab Ciamis,Jawa Barat,ILMU POLITIK,MANAJEMEN,77,84.63,Tidak Lulus,Tidak Lulus,11.1,10.6,1,0,10.6,10.6,10.6,10.6,10,75,,,,
4180397745,P,Reguler,SMK N 1 CILEUNGSI,Kab Bogor,Jawa Barat,TEKNIK INFORMATIKA,PENDIDIKAN MATEMATIKA,70,83.31,Tidak Lulus,Tidak Lulus,11.1,10.4,1,0,10.4,10.4,10.4,10.4,7.5,71.7,,,,
4180397935,P,Bidik Misi,SMAN 1 GARUT,Kab Garut,Jawa Barat,EKONOMI PEMBANGUNAN,PENDIDIKAN BAHASA INGGRIS ,89,83.43,Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4,9.4,73.2,,,,
4180398399,P,Reguler,SMK N 1 CILEUNGSI,Kab Bogor,Jawa Barat,TEKNIK INFORMATIKA,EKONOMI SYARIAH,70,83.53,Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4,7.5,71.4,,,,
